content,toxic
Comment này chắc bị xoá vì nói thật,1
Donation mà không fulfill promises,1
shipper ko lien lac,0
"Setup đỉnh vậy, share đi bạn!",0
Relationship này precious lắm,0
Mày nhái Liên Quân mà dở vcl!,1
lớn r mà đầu nghĩ j v:),0
noi roi chang nho gi,0
chat luong hinh kem,0
ko hieu noi y chinh,0
vô viện mà như đi casting idol vậy trời,0
Steal jungle của team,1
góc nghiêng thần thánh xuất hiện,0
Chơi game tệ mà còn trách game,1
sao may khong biet minh dang lam tro tren fb?,1
"Đẻ lắm để giờ khổ, haiz",1
Bạn làm nội dung sáng tạo quá trời,0
"Nghèo mà đẻ con, khổ cả đời chả xong",0
"DM tui đi, tui rảnh nè bạn!",0
Bảo vệ lăng chắc đi nhậu nên ko thấy,0
Ảnh coffee mà như nước rửa bát,1
Kênh này chỉ toàn nhảm nhí,1
may co nghi cai clip do nhin ngu ngoc ra sao?,1
co cong thuc do an nay khong?,0
Nói chuyện như con nít,1
Càng tìm hiểu càng thấy nể,0
cha ca khong con nong,0
Loại này nên tránh xa ra càng tốt,1
Thấy clip này chỉ muốn dislike thôi,1
Chất lượng tệ hại không tả nổi,1
Bạn có thể giải thích thêm không?,0
nga tu nay tai nan thuong xuyen,0
do an co nguoi tai tro ha ban?,0
"Hài vãi, làm thêm clip hài đi bạn!",0
Tôi đây! Present,0
"Láo thật, biến đi cho rồi!",1
Ảnh aesthetic mà messy thật sự,1
"Cứ bày đặt reaction, nội dung nhạt như nước ốc",1
khong thay ai dieu tiet giao thong,0
Không thích cơ chế thăng cấp mới,0
"Valentine tới, tui vẫn FA đây",0
may nghi cai voc dang lo xuong do la dep a?,1
sao may khong nhin lai cach an mac cua minh truoc?,1
Làm gì cũng thấy giả tạo,1
may nghi post cai clip do len fb la ngau lam a?,1
Bạn cảm nhận về mẫu mới thế nào?,0
Post ảnh family mà không được phép,1
Reaction time như cụ già,1
quán này không dành cho người tiết kiệm,0
"Làm video lười biếng, không chịu sáng tạo",1
không phải ai cũng cảm được clip kiểu này,0
Phí thời gian xem video này,1
Sống giả tạo nó quen rồi,1
cai body do ma may cung tu tin livestream a?,1
tụi mình đừng tự chia rẽ vì mấy chuyện nhỏ nhặt,0
"Sáng tạo xĩu, lần đầu t thấy!",0
"Chỉnh sửa chưa mượt mà, hơi gượng",0
ko co y tuong,0
Bạn thấy mức giá hợp lý không?,0
Giao hàng như ném đá qua cửa,1
Hàng rẻ tiền mà chất lượng còn rẻ hơn,1
Clip này quay bằng app gì vậy?,0
Spam quá! Báo cáo liền,0
"Bớt sân si đi, làm clip cho tử tế vào",1
lại bắt đầu khịa vùng miền rồi đó nha,0
"Cô ơi, hóa đơn này là vàng 24K hả? 😅",0
Chúc mừng bạn nhé! Thật sự rất tuyệt vời,0
Glued to the screen,0
Nhạc nền là bài gì thế?,0
Stream content như không có soul,1
may nghi minh la hotface ma cu viet status the?,1
Bạn có thể gửi thông số kỹ thuật không?,0
Không có tí sáng tạo nào luôn,1
Rich kid problems,0
Bạn có video hướng dẫn không?,0
Served! Phục vụ chuẩn,0
b noi ra dieu t nghi,0
Cứ như bị nghiện nổi tiếng ấy,1
Giống như trong phim luôn á,0
airport fashion,0
Chất lượng nội dung đỉnh cao luôn,0
nói nghe mắc cười dễ sợ,0
tụi nhỏ đừng học mấy comment thế này nha,0
"xe ca nhan qua dong, khong kiem soat duoc",0
aye aye captain,0
ai ăn rồi cho xin cảm nhận thật với ạ,0
thankful,0
ban quay video vao buoi toi ha?,0
"Plot twist đỉnh cao, bất ngờ luôn!",0
trời ơi cái cap này đúng lúc quá,0
bài học nhớ đời luôn,0
Không thích hiệu ứng này lắm,0
Hit me up if interested,0
Ảnh makeup no makeup mà full face,1
Đi đúng hướng là thấy liền kết quả,0
xem hoai chang thay hay,0
Đây là bản gốc hay sao?,0
"Làm mãi một kiểu, không có gì mới",0
extra,0
Bạn đã nhận hàng chưa?,0
Font chữ gì đây?,0
Ai biết thông tin hỗ trợ thì nhắn tui với,0
redemption arc,0
Peel cho ADC như không tồn tại,1
"Không mới mẻ gì cả, chuyện thường thôi",0
"Sinh con ra mà ko lo được, chán",0
Tôi không thấy điểm nổi bật gì,0
day la mon gi vay?,0
Video này có chỉnh sửa không?,0
day la thuong hieu nao vay?,0
món này chắc phù hợp với người sành ăn?,0
Chị cute xỉu luôn á trời,0
clip này chữa bệnh tâm hồn tui thật sự,0
Ai thả ông này ra mà để vô phá vậy,0
clip nay quay tu bao gio vay?,0
Mình sẽ lưu lại để đọc sau,0
Story countdown mà không ai care,1
may co biet cai bung mo do nhin xau xi ra sao?,1
ai cũng mang ipad đi học như trend,0
"Đù má, làm cái gì kỳ vậy?",1
"Một lần xem vui, nhiều lần xem vui hơn 😜",0
"Nghèo thì ở vậy, đẻ chi khổ",0
Xem mà chỉ thấy chán,1
ngày đó cứ như hôm qua vậy,0
tập thể dục buổi sáng bằng cách xem clip này,0
Không nhận được hàng đúng hẹn,0
Chỉ giỏi lôi người khác xuống,1
Chưa thấy gì đặc biệt để nhớ,0
Phốt chồng phốt,1
Shop có hỗ trợ bảo hành không?,0
One more episode syndrome,0
Đang tìm hiểu thêm về sản phẩm này,0
nhiều khi nói chơi mà người ta để bụng đó,0
"sup dai, nhai met",0
"Thà ở vậy còn hơn, đẻ con ra khổ cả nhà",0
sao may khong biet xau ho voi cai body do tren fb?,1
Ai cũng cười vui vẻ là tốt rồi,0
Nạp tiền vào nhưng không đáng chút nào,0
"Phá di sản quốc gia mà ko bị gì, bất công quá",0
Game chơi lâu thấy nhàm dần,0
muốn xin slot học ké lớp này,0
supporting role,0
Tank mà không biết protect ADC,1
rofl khong chiu noi,0
"Chúc b mau khỏe, mạnh mẽ nha!",0
tôi chính là người bị trêu trong clip,0
Tới công chuyện thật rồi,0
Hashtag spam như điên,1
Giọng nói dễ thương quá trời,0
"Chán vãi, nội dung này nhạt nhẽo",0
"Clickbait à, thất vọng vãi!",0
Mặt như cái mâm mà cũng làm beauty blogger,1
sao may dam post cai anh body te hai do len fb?,1
Nội dung này không hợp với tôi,0
Totally relate! Tôi hiểu feeling này,0
Thấy mấy bạn trẻ lễ phép vậy mừng ghê,0
"Nhìn phát là thấy xấu rồi, đừng cố nữa",1
*Chef's kiss*,0
Tui mê mấy kiểu này ghê luôn á,0
Phốt ngày càng sáng tạo,1
side character,0
"Đồ rác, đừng post nữa nha!",1
Người như này nên tránh xa,1
Làm màu quen rồi nên diễn cũng trơn tru,1
xe buyt qua dong nguoi,0
tai xe mo cua bat ngo gay nguy hiem,0
Đặt hàng thì gửi linh tinh,1
Đơn giản mà thu hút ghê,0
Story favorite things mà taste questionable,1
"T cx đồng ý vs b, chuẩn lun!",0
Matchmaking không công bằng chút nào,0
Bạn review dòng nào vậy?,0
có ai tua đi tua lại giống tui không?,0
Try hard quá không?,0
tui thích kiểu hài nhẹ nhàng vậy nè,0
Support mà không ward,1
"Cơm quê giá Dubai, ăn xong muốn lên cổng trời 😅",0
quán có phục vụ tận tình không mọi người?,0
Clip này đúng gu tui luôn á,0
clip bi rung nhieu,0
"Bạn là idol tui luôn, xuất sắc!",0
"Được thôi, cứ làm tiếp đi",0
may co biet cai cach viet status do nhin ngu ra sao?,1
co video huong dan lam khong?,0
Ảnh confidence mà insecure obvious,1
Original! Sáng tạo lắm,0
cảm ơn vì đã tạo ra tác phẩm này,0
Bạn đánh giá chất lượng thế nào?,0
đẹp vậy chắc 80% người bệnh là crush,0
sao may dam mac bikini voi cai body te the do?,1
OTP của tôi đây!,0
noi roi nhin van loi,0
"Đôi này cute vãi, ship nhiệt tình!",0
xe may tranh nhau tung met,0
nhớ mấy ngày ôn thi căng thẳng dễ sợ,0
may co biet cai eo to nhu cai lu do xau the nao?,1
"ăn 1 lần biết liền mà, đừng chê trước khi thử",0
xem xong thấy cũng ngại ngại cho quê mình,0
Đừng để vài tình huống nhỏ mà đánh giá cả người,0
hay nhấn mạnh chữ quận 1:)),0
ủa là trứng luộc xong chiên hả?,0
"Chất vãi, bạn đúng là top 1!",0
Chất lượng hình ảnh mờ quá,0
"Clip nì viral chắc lun, chất vl!",0
may nghi may la celeb ma cu khoe tren fb story?,1
Streamer fake humble để câu sympathy,1
"Ve chắc hoang mang lắm, hè đâu mà kêu :)))",1
Tôi tưởng tốt hơn cơ,0
exactly! chinh xac lun,0
tui coi riết tưởng lớp nào cũng vậy,0
Giờ vẫn còn hàng không bạn?,0
"Cơm quê giá thượng, ăn xong muốn lên trời",0
cap kiểu này mới khiến người ta nhớ,0
visual king,0
Tag bạn bè spam vào post,1
Item timing không biết gì,1
Không tệ nhưng cũng không xuất sắc,0
Mày tuổi gì mà khoe khoang ở đây?,1
may nghi may la ai ma di noi xau nguoi khac the?,1
may co biet cai livestream do nhin te the nao khong?,1
duong cong va hep nguy hiem,0
mỗi lần thấy bác sĩ là tim lại đập mạnh,0
Xấu tính như vậy ai mà chơi nổi,1
Mất tiền oan vì tin quảng cáo,1
Cảm ơn bạn đã giải thích rõ ràng,0
co ai cung them nhu minh khong?,0
"Không sao đâu, cứ làm đi",0
tốt nhất là chuyển khoản xong xóa app luôn,0
Post ảnh book mà chưa chắc đã đọc,1
Nailed it! Làm chuẩn,0
Nhìn như con lợn ấy mà cũng lên sóng,1
Chơi game mà toxic với đồng đội,1
cảm ơn vì da đen,0
Làm nội dung cũ hoài vậy?,0
Hàng tệ mà giá như hàng hiệu,1
"Sáng nay lạnh, tưởng đang ở mùa đông",0
Too much! Quá đà rồi,0
phải gọi đây là chấn động thị giác,0
growth mindset,0
banh trang tron qua nhieu dau,0
"Giao hàng sai, phải đợi đổi lại rất lâu",0
cai anh do ma may cung dam khoe tren fb a?,1
Drama chưa bao giờ thiếu tên,1
video nay co dung am thanh thuc te khong?,0
Thấy nhẹ lòng hẳn ra luôn á,0
Không thích hệ thống giao diện mới,0
"Đm, video gì mà dở vcl!",1
tính ra vậy cũng ổn so với mặt bằng chung,0
"Video lag quá, fix giùm nha",0
xe dap chay chan duong o to,0
Thấy mặt là không ưa nổi rồi,1
Cảm giác hơi nhàm chán,0
"duong ngap nhu song, khong chay xe noi",0
Bảo vệ lăng chắc đi ngủ nên ko thấy gì,0
Xin thông tin để hỗ trợ gia đình anh này,0
Nhìn bạn sống chỉ muốn né gấp,1
Tôi sẽ thử xem sao,0
"Đội bảo vệ lăng làm ăn kiểu gì, đuổi hết",0
Bạn biết shop nào uy tín không?,0
ko xac dinh,0
sao may cu khoe cai body xau xi do tren fb?,1
sao may cu thich khoe cai mat xau xi do tren fb?,1
Sản phẩm bị lỗi nhỏ,0
"Valentine tới, t vẫn FA nè!",0
Cảm thấy không đáng tiền,0
Ai mà giao du với loại này được,1
Bền bỉ và kiên định với con đường đã chọn,0
Chỉnh sửa hiệu ứng chưa tốt,0
"Ngầu xĩu, t respect b lun!",0
Goals! Tôi muốn như bạn,0
Xem clip không hiểu thông điệp là gì,0
cai giong hat do ma may cung dam livestream ha?,1
Part 2 khi nào ra vậy?,0
video nay dang buoi toi ha?,0
Bạn có link group chia sẻ kinh nghiệm không?,0
"Đang hot trên mạng, hay xĩu!",0
do an nay bao nhieu tien mot phan?,0
Chán không tả được,1
Rage quit khi thua teamfight,1
Bạn đánh giá độ bền sản phẩm như thế nào?,0
xem xong tự nhiên mệt chung luôn á,0
may nghi post may cai hashtag do la chat a?,1
Epic! Hoành tráng,0
Stay strong bạn nhé,0
"Cx bt, hok có gì hot!",0
Đóng gói sơ sài,0
đoạn này tui bật cười trong lớp luôn,0
cong truong lam duong hoai khong xong,0
"Nghèo còn đẻ, đúng là ko nghĩ",1
Loại người như mày không nên tồn tại,1
Bạn đã update phiên bản mới nhất chưa?,0
Chúc bạn thi tốt nha!,0
may nghi khoe cai bung mo do la dep lam a?,1
Chất lượng hình ảnh mờ quá,0
Đóng gói như ném vào thùng rác,1
"Như phim Hollywood, chất vãi!",0
Bạn có gặp lỗi khi sử dụng không?,0
Không đầu tư nội dung lắm,0
duong moi lam ma da bong troc,0
cai deo gi,1
Single pringle ở đây!,0
Bạn đang dùng bản cập nhật nào?,0
đọc comment thôi cũng thấy đủ chiêu rồi,0
coi vậy chứ nhiều chỗ còn đắt hơn,0
Mid laner mà farm kém hơn cả jungle,1
"với tui vậy là ổn rồi, không ý kiến",0
OTP của tôi đây!,0
Mỗi lần đi qua hầm lại thấy tự hào,0
sao may khong nhin lai cach an mac cua minh truoc?,1
Bạn gửi thêm thông tin tham khảo giúp mình,0
Mày ngu quá đi!,1
Demolished the competition,0
sao may cu thich di drama tren fb the?,1
"Bạn nói đúng lắm, tôi đồng ý với bạn",0
Mấy bác biết stk anh này thì cho em xin với,0
nếu clip này có phần 2 chắc hay lắm,0
vintage vibes,0
Hàng nhái mà còn bảo chính hãng,1
"Cmm, đừng đăng mấy thứ rác này nữa",1
ship lau muon xiu do,0
cảnh quay đỉnh cao luôn,0
"Nghèo còn đẻ, đúng là ko biết nghĩ",1
Story ngày nào cũng selfie,1
Xin thông tin hỗ trợ anh này nha,0
một pha bẻ lái cực gắt,0
Champion mastery fake,1
Nhìn mặt dốt chưa từng thấy,1
KS rồi flame ADC,1
Thông tin chưa rõ ràng,0
"Sáng nay đi làm rét, tưởng mùa đông tới",0
"Đã nghèo còn đẻ, hết nói nổi",1
Bạn có thể gửi bảng màu không?,0
Tư vấn khách như không muốn làm,1
Tấm lòng vàng là đây chứ đâu,0
Không hợp gu tôi lắm,0
honey skin,0
mấy cap này chỉ có thể là tiktok Việt Nam,0
nghe phát nhận ra liền luôn,0
tuổi học trò dữ dội ghê,0
t chỉ xin 1 góc nằm thôi cũng được,0
Dịch vụ tệ hại không lời nào tả,1
Không thích kiểu video này,0
thach dai va bi nhat,0
cái cap gây lú quá mọi người ơi,0
Bạn mua ở đâu giá rẻ vậy?,0
Đánh giá 1 sao mà còn thấy cao,1
Được thôi,0
Served! Phục vụ chuẩn,0
lashes for days,0
Không có phiếu bảo hành đi kèm,0
đây là lý do tui tình nguyện đi viện mỗi tuần,0
Chưa bao giờ thấy ai xử lý hay vậy,0
đúng là trai đẹp làm gì cũng đúng,1
quan dong ma nhan vien nhu ngu,0
may nghi post cai anh do len fb la ai cung khen a?,1
Chơi như noob mà rank cao,1
Tôi vừa xem xong,0
xe bon nuoc di bat thuong,0
banh uot bi biet,0
nuoc ep toan da,0
mỗi lần có chuyện này lại gây war hoài,0
Bạn quay ở đâu vậy?,0
Bạn thấy giao diện sử dụng dễ không?,0
"Phần này khó hiểu, giải thích thêm đi",0
Sản phẩm tệ nhất từng thấy,1
Tai vểnh như tai chuột vậy mà cũng thích đeo khuyên,1
"Hài xỉu luôn, làm thêm đi bạn!",0
Bạn thấy chất lượng hoàn thiện thế nào?,0
Ảnh concert mà chụp mờ nhòe,1
style này nhìn hoài không chán,0
may co biet cai anh do nhin xau xi the nao khong?,1
"Love is in the air, except for me",0
Stream nội dung như rác rưởi,1
Cái thứ rảnh rỗi đi gây sự với người khác,1
Hệ thống kỹ năng của nhân vật quá đơn giản,0
Secondhand embarrassment,0
Lạnh thế này lôi áo khoác ra mặc luôn,0
Timing skill như lag não,1
tụi mình nên tự hào nơi mình sinh ra,0
Donation target mà không minh bạch,1
Single pringle ở đây!,0
"Đm, lừa đảo à? Đừng tin nha!",1
clip này gợi nhớ ký ức mơ hồ ghê,0
duong dai ma khong co bang huong dan,0
"Mày bị điên hả, nội dung gì kỳ vậy?",1
"mọi lần đọc cap không sao, lần này thấy lạ lắm nha",0
Chưa nhận được hàng dù đã đặt lâu,0
noi lung tung chang hieu gi,0
Fairy tale vibes!,0
cái quán này làm mình mất niềm tin vô review trên mạng,0
may co biet cai status nay nhin ngu ngoc the nao khong?,1
quán chỉ phù hợp để sống ảo,0
Lừa đảo đấy mọi người,0
Streamer này nên nghỉ stream đi,1
"Bạn là number one, xuất sắc!",0
Thứ ăn hại xã hội là đây,1
có ai vô học mà không lôi máy quay ra không?,0
"mk ko cho lưu, mà bắt đổi thường xuyên, còn kí hiệu đặc biệt nữa",0
Sống giả tạo như này thì ai tin được,1
"An ninh yếu quá, cần cải thiện ngay",0
Đùi to như cột đình vậy còn thích khoe,1
"Không chê được, perfect 100%!",0
Ảnh outfit repeat hoài không biết chán,1
"dù mắc nhưng nếu ngon thì cũng đáng, tiếc là không ngon",0
cai anh do ma may cung dam khoe tren fb a?,1
Doraemon là tuổi thơ của biết bao người,0
thx b nhieu nha,0
Ước gì nhiều nơi làm ăn như vậy,0
Tải xong là vô vèo vèo liền,0
Cần luật riêng cho mấy người ngáo đá phá hoại,0
Sản phẩm khác hoàn toàn mô tả,1
Mồm miệng không sạch sẽ tí nào,1
tra sua ngot gac co,0
ưu điểm: 2 người đã có Ny rồi\nnhược điểm: 2 người đều có Ny,0
Phốt ngày càng chất lượng,1
giờ đi học phải có aesthetic mới chịu à?,0
Lúc nào cũng cố làm người tốt,1
Iconic! Biểu tượng luôn,0
Bạn có thể review thêm các tính năng phụ không?,0
nghe mà nổi da gà luôn á,0
trứng này chắc là trứng rồng,0
"mình ăn thấy ngon mà, giá xứng đáng",0
"Video nì đỉnh vcl, làm típ đi b!",0
đây là lý do tại sao đừng đùa về vùng miền,0
Cần thêm thông tin,0
ban co the lam clip chia se cach che bien khong?,0
Skin nhân vật xấu quá trời,0
Sản phẩm dễ trầy xước,0
may nghi cai mat day mun do la quyen ru a?,1
Acting quá! Fake lắm,0
Chặn vậy thì bao nhiêu app khác cũng nên chặn luôn,0
Tôi thấy ổn,0
"Có vẻ oke, nhưng t hok chắc!",0
Ảnh OOTD mà outfit xấu kinh hoàng,1
Streamer này không đáng subscribe,1
đồng phục nhìn thích thật,0
Surrender vote ngay phút 10,1
Bạn đã từng tư vấn khách về sản phẩm này chưa?,0
may nghi viet status vo duyen vay la hai huoc a?,1
quá trình không dễ dàng nhưng kết quả xứng đáng,0
Chơi game nhưng không thấy giải trí chút nào,0
Tim tui tan chảy với nội dung này!,0
Giọng nói nghe phát chán luôn,1
"Nhìn anh mà xót, ai giúp được thì giúp đi",0
quan doi mon lien tuc,0
Phá đồ quý thế này mà không bị gì thì đúng là bất công,0
lớn rồi mới hiểu đc ý nghĩa của nhạc này😥,0
Nhìn như con gấu vụng về,1
nghĩa vụ quân sự với mỗi công dân khi đến tuổi là chuyện bình thường,0
duong qua nho cho luu luong nay,0
Bạn nói ra điều tôi nghĩ,0
mình nhớ sai lớp rồi sao ta,0
Ai biết stk anh này thì share nha,0
ai dám nói học sinh không biết diễn xuất,0
"Thất vọng ghê, t mong hay hơn á",0
Nội dung vậy mà cũng bị chặn thì chịu,0
npc energy,0
Hot topic của tuần,0
Không hiểu sao vẫn có người đăng ký kênh này,1
Không chiêu trò nhưng chất lượng thì khỏi bàn,0
"Đm, lừa đảo hả? Đừng tin nhé!",1
Quán cơm quê dượng bầu đúng là đỉnh cao 😎,0
do an trong clip la gi vay ca nha?,0
Giao diện app khó sử dụng quá,0
"Vid lag qué, fix giùm nha!",0
xem clip xong muốn học lại ngành y,0
Tôi sẽ xem thêm thông tin,0
