content,toxic
"Nguyễn Thuận cmt 1 cái bị chửi như chó, thôi ráng bữa sau cmt nhớ lắp não vào nha",1
Ngọcc Lingg cái bút xinh xinh,0
Ai thích bé này hơm :)))),0
Thằng này bị cả hội eva bốc phốt mà dm thằng add còn cố đéo chịu hiểu mà đăng lên,1
Mều Siu Nhơn why :))?,0
bọn công an chỉ có việc là đi đàn áp dân đen thôi.,1
Phan Linh chán đéo muốn nói luôn,0
Minh Hoàng ghê ghê. Top r ông êi,0
"Tâm Nguyễn t mắc cười thật,Quốc tịch VN thì không ở VN chứ ở đâu :))) có thấy người ta chê cái VN này chưa,khi nào nó chê đi tao dô chưởi phụ dí mày :))) nó giàu nên nó đi chuyên cơ riêng mình nó về rồi vô cách ly luôn đó ba ạ",1
"Đất nước sẽ đi đâu về đâu khi đám bộ trưởng, tổ trưởng tổ tư vấn của thủ tướng toàn là đám vô học, lưu manh giả danh trí thức, thời đại súc vật lãnh đạo con người đây mà",1
"I pray to Jesus, Sakya Muni, Allah! Please! Please protect him!",0
. ai khịa thầy là chetme đó nha,1
Có não thì nên sử dụng chứ cứ để nó đóng thành bê tông thì lại phí 😒,0
Bố con điên,1
tuyet voi,0
Trẻ trâu đóng film hài hả 🙂,0
năm mới nghèo theo cách anh Ba,0
Hihi fan cứng,0
Hà Nhật đang ở nhà ko thì đi đi :))),0
Con nay hun du lam nhin cai mo no ko vua Kia thay cho chuoi thach thuc nguoi ta Kia 😲🤦‍♀️😡,0
🤣🤣,0
"Thôi m ơi,chết vì corona lại mang tiếng đất nước mình",0
Chắc Tiệp nghĩ Tiệp là hạng Thượng đẳng :)),0
"Cái này đúng mà, Việt Nam! M có câu 1 ng làm quan cả họ được nhờ mà! Nhưng cái com mẹ quan bjo muốn nó khôn phải lấy bác hồ ra vả vào mặt nó mới khôn lên dc ko cả bố lẫn con đều ngu như nhau cả thôi",1
Dự Nhiên kết hợp lại thành bộ 3 hủy diệt cmnr😂,1
Quang Nghĩa tính tiền cho anh ba,0
Non quá thầy ơi,0
Mai koo dc lam fan cung :<,0
Tóc chỉ đẹp khi còn ở salon :((,0
Đừng nói là biển tới tháng rồi nha ? 😂,1
ặc :),0
Sống bằng cacban rồi. :)))) k bị chậm nữa,1
Dk me khong biet tang thue moi truong de lam gi ?,1
Lộc Phát cúttttttttt⛏⛏🔪🔪,1
nh vl anh :)),1
Mẹ mày. Đang họp đấy bọn ngu,1
"A ha chào cụ tiên sư trần mần ,hay mình khoái nghe hài của cụ ,coi chừng cụ nhé em NCov nó quặc vô là cụ đi đấy ,còn giờ này cụ chỉ có dương vật teo chứ sao mà cúm dơi cúm mèo đc",0
Đánh nhà cho a :)),0
"Mấy con cá đàn áp dân, từ dân mà ra, đc chính phủ trả tiền và trao quyền lực để quay lại đàn áp dân",1
Dạng háng bắt Sele buscu chứ gì thầy 😍,1
nói j thì nói nghe giọng khàn khàn éo thể nào iu dc 😅,0
Quả báo đó con,1
Chat chan tay la xong.ko can lgi het.thang nao danh nguoi giet nguoi cu chat chan cat gan tay,1
Thi nhau add =)),0
Nghe rất lí Mạc sầu nhưng lại rất cô cô,0
Rô nói vậy chắc người việt không có ý thức bằng bọn nhật,1
"cách đây cũng 1 2 năm nghe tin đứa trẻ sinh ra đã cõng 22 triệu giờ 29 triệu , mấy ông đi vay tiền để tăng GDP à =))",1
Thiếu 1 số 0 nha ae :)),0
♥♥♥♥♥♥♥,0
Chuì lol là chui gi vaÿ?,0
Cô lại dễ thương...i love you cho gờ cu❤️🥰,0
Anh em yếu sly ib,0
Đơm chết mẹ nó liền :)),1
Phắc ộp! Dmca,1
bít này viết có hết mực hông ad?,0
Hiếu Bùi giỏi qá cc j cũng biết hết â,1
Chet me may chua con kkk,1
Nguyễn Trang chị trang ơi anh độ !!!,0
Thần kinh tọa,0
"Ông này có chơi xk ko, thấy bị điên... cũng tội",0
Tưởng khỉ 🐒 muốn chịt lúc nào cũng được chứ - hè với đông cũng chịt chịt đụ đụ với nhau đúng khung giờ bố đi nhậu,1
“Cháu ngoan” boác Hù đây!,1
sena cũng có có tuổi nhưng tiuooir lôn,1
Cai miệng ba nay chua hêt nghiệp lai tao nghiệp nua roi.phu ni gì ma tho tức miệng co doi ma thui nua,1
linh khùng,1
Trần Thị Ngọc Anh hơn giống loài tỏ ra thượng đẳng trong khi chả biết củ lìn gì.,1
Quen lối sống hùa bầy đàng. Mỗi người Viet chúng ta trước khi làm việc gì hãy dùng cái đầu để suy nghĩ.,1
xinh vaicalon y kien gi,1
Giáo án cc gì đây,1
Chi ba giau dep gai ai noi chi ke ho .  Chi giau,0
Vậy ? Cái tiền hỗ trợ này sẽ vào túi ai ? Túi thằng xin hả ?,1
Ồ. Vậy cái vụ vinashin toàn mấy ôg ngu nhỉ😁? Bạn giỏi thật,1
Bắt con này nôn ra 400 tỷ!,0
Hôm qua xem thót tim giật mình phết đấy ae ạ:)),0
a đẹp zai mà 😘😘,0
"Đizz mẹ nó giết dân từ từ hết chuyện này đến chuyện khác lũ chó quân ăn cướp chứ đéo phải là quân iu nước , bây h nó còn rước giặc tàu rồi mở đương cho tàu qua giết dân ta cho nhanh , đưa formosa zề giết dân ta bàn chứng cụ thể ai ai cũng thấy",1
Danh Nguyễn Anh Khôi thấy chưa ? Cánh hoa đó khong phải cái kia đâu sáng t cảm ơn đưa v còn ch chịu,0
Ở vn ngày nay có một rừng luật nhưng bọn vc chuyên sài luật rừng !,1
"chưi con khỉ gì mà chửi, ae ko ngta qua lao động kiếm sống thôi mà, người vn thì phải đi xklđ mấy anh mới thu thuế dc chứ",1
Rồi đeo hiểu nghĩ con cac j. Chấp hành vừa tốt mình vừa giúp nhà nước. H lại thêm quản phạt vs ngồi tù nữa thì hay,1
cho nó rít vài bi cần là nó ngoan vl luôn,1
đmm ghi rõ nguồn VD ra nhé ad,1
Con mẹ mày. Nhạ ơi. Nhòm vào bữa cơm 25k của các cháu trường tiểu học hạp lĩnh. Tp Bắc ninh xem mày có đớp đc ko,1
bệnh dịch corona cuvid 19 lai tạo.con giặc  corona cuvid 20 lai tạo. 2 loại này Thuột dạng báo đời,0
Sao k xoá thuế cho nông dân. Lm ăn thua lỗ tự chịu,0
cả đoàn trốn trại...nói chuyện điên khùng,0
Đảng đã cho ta một mùa xuân đầy thất vọng!,1
Trần Sinh Đức đến là làm phiền,0
@Phương vo nói cl gì z mẹ. Nói mà để ng ta từ chối hiểu hay gì á,1
Tú Tý Tởn cười cái qq à bạn :((,1
Biết vậy bắn chết ông này trước cho ông hỏi tiên chi để khỏi có corona 👾,1
3-4tr bán còn 300k đến 400k ... nói xạo nói ngu còn nói cho to ... lên mặt dạy đời bán hàng dễ thương :))) mồm mày ngày thường ăn phải gai tre nên giờ tối lại xộn lào ak :v,1
"Vcl tự nhiên chửi người khác ngu rồi đem trường hợp ngu của nó ra ví dụ! Đụ mẹ thằng ""lỏng bao"" dành hết phần ngu người khác! Não teo rồi hoá chó à",1
Lần sau bắt gặp chụp thành quả + chủ vũng nước đái = ghép lại. Up nó lên gr cty cho đội quần luôn 😃,0
abe moi' noi' cl gi` v ?,1
Cu Dan doi Kho. ma Tai Sao con an chan tien cua dan ngheo vay troi,0
Thang bong gia ngao da  cai lay  mieng may nhu cai cau tieu vay do,1
Lào giờ gần như là của Tàu khựa rồi thằng ad ngu ạ. Ủng hộ cái mồ tổ cha mày.,1
Anh độ là người thiết kế iphone 11,0
Ông đi đâu mà lạc sang đây đây,0
Tùng Xhaka Arsenal đi rồi a tùng ạ,0
"Anh tôi live đấy , anh tôi live cổ vũ nó phải ez game thế đấy🤣🤣🤣🤣",0
Đỗ Khánh Dư có mỗi cái 😑😑😑. Tìm trên hình ảnh chắc có nhiều...,0
Thinh Hoang may là izakaya ở nhật chứ ở houston chết mẹ t:)),1
"đéo làm được con cặc gì ngồi múa phím suy diễn đm tụi bây , làm được cái gì như người ta rồi hãy nói loại ghen ăn tức ở",1
Chí Bảo nhung chứ chung cc à,1
Lam sao ma co the tha loi duoc cho nhung  nguoi an noi vo hoc thuc nhu the nay. Bo tay.,1
tham my dien vay choi co cam giac k chi dep gai,0
nói dân trí thấp lại tự ái 🙂 cái ý thức còn kém hơn kiến thức lý của mình nữa 🙂,0
"Đi chữa bệnh thôi,đừng có họp với chả hành nữa...",0
Em de mat nhu vay nhin rat dep nhin de thuong lam em gai oi,0
"30:03 ""Con Đ.Ĩ L.OZ Thúi""🦋😂😂",1
Ngứa dái chưa kkkkk,1
Ko biết có ai nghèo ở VN nhận đc số tiền tỷ tỷ tỷ của nó chưa.kể tài sản của ng khác rồi xạo lozzz của mk.Bóng này là bóng dơ bóng dũa nail chứ có cl gì.,1
"Việc to biến tháng nhỏ,việc nhỏ thành không có gì.xong lại còn đánh lạc hướng dư luận sang hướng anh nhà báo.một bàn tháng lớn cho bộ máy tuyên truyền",1
Dũng thằng xàm lol,1
"Tôi cũng vây ,,,nói ko với tân hiệp phát",0
Mày bảo ông quan nào vận động dc số tiền như thế đi. Ngu mà còn diễn,1
"Khúc ruột ngàn dặm :)), rồi mấy anh chị thành viên trong cái hội ấy đưa con cháu, gia đình dòng họ qua ở chung với cái tụi đu càng thế mới vui :))",1
Dm cái giọng cười Abe nghe khốn nạn vl ạ :)) nhưng mỗi lần em nghe em đều cười theo =)),1
Sống lố quá thể 😓😓😓,0
"Người miền Tây lúc nào cũng thiệt tình, dễ thương vậy đó",0
Đào Mạnh An bên đó cho tự cách ly và không xét nghiệm nhé,0
Tòa án Việt+ là bọn giết người hơp pháp,1
Thằng đầu bò,1
Huyền Vy dẹp mẹ đi,1
dỗi,0
"hợp đồng của DCS với Tàu thôi nhá, đéo phải dân.",1
Bê lol chạy quanh nhà 😂😂😂,1
Đhs cứ mặc định nghĩ là nội bài là tđn nào nhỉ? Qatar thì nó cũng có sân bay mà từ qatar về hà nội phải transit qua bangkok nhé :))). Sân bay nào cũng có trộm cả thôi :))),1
Trưởng thành vl,0
Biệt tài trả lời xong chẳng biết trần dần nói gì. Vũ Hoàng Lân thiếu người để kiếm viu đi phỏng vấn người điên.,1
Em dung o  mot goc do ma noi em thay chi  mat chi phuc hau em tin chi chi noi gi em cung tin,0
làm thật đó hả thầy :)),0
đjt nhau thế kỉ đây rồi,1
1 phò cho hay,1
đkm đứa nào bảo idol trần dần t mắc covid đấy :v,1
Nguyễn Thuận cmt = não đi bạn,1
Chuẩn vl chứ còn gì nữa :((,1
Hải Yến Đ care cmt làm gì??? :))) Ô ai hỏi m à? :)))),1
Thầy Giáo Lu vcl thấy giáo lu =))),0
Hiếu Bùi giỏi qá cc j cũng biết hết â,1
Vài bữa nữa cty Lục Tỉnh ra thông báo xin lỗi Xanh Bôn thì lại hài vcl 😂,1
"Thiên Minh ko biết đọc hiểu à, trong 14 ngày phải cách ly tại nhà , cậu Tiệp này chạy tung tăng khắp thành phố ( tổ dân phố tới kiểm tra nhiều lần ko có nhà và có rất nhiều nhân chứng, ảnh chụp cho thấy) nên Chủ tich TP mới phải ký qđ cho cách ly vì cậu Tiệp đã sai qđ. Nói chung là cái loại ý thức kém như thằng này thì ko cần phải nương tay, cứ cưỡng chế",1
bình thường ông này cũng bị nhiễm rồi mà . hài,0
Vl. bỏ 33 giây cuộc đời ra để cười. tốn thời gian mà đéo đc cl gì,1
Chỉnh lại ông bô. Xe với trả cộ ẩu vl,0
Nghe khá hay😂,0
Đây là thất bại của CS chứ còn gì nữa,1
Nguyễn Thu HườngPhan Xuân HưngThành NguyễnHoàng Văn QuyềnĐào Thị Thu lịch lên Cầu Giấy họp hơi lâu.:v,0
Nguyễn Hoàng bài j v,0
Ngta lớn ngta chua kêu tên mày thứ nhỏ mất dạy tao cũng bị gạt đây thấy LGBT dễ thương mua ủng hộ live nào tao cũng coi may đm mua ve xịt 3phút đéo nghe mùi j thu làm ăn gian dối ko tồn tại dc lâu đâu nhỏ hon ngta mà hổn láo,1
đkm dơ vc,1
mai tao xin đi làm dân quân xong t đi tìm ra mày giết mày ad ạ đồ phản động :v dlv dạo này hoạt động ghê lm,1
Phạm Nguyễn Cát Vy cljv con,1
Combat lùi abe ơiii,0
Cđ châu md quá tr r🤣🤣,1
Chuẩn!!,0
Loại mày trước sau gì trời cũng đánh mày,1
Ủa xem EmVi hay đang nhận giải hoa hậu mà khóc dữ dị ? Từ từ em nào cũng có giải không cần chen lấn mất vui nghe.😂,0
buồn nôn quá nè anh ơi :)),0
Đó h tưởng 2 phai,1
"Chia buồn cùng người em ad , bốc xếp lấy nhưng nhiều khi an ninh coi máy soi chiếu báo cho bốc sếp lấy",0
sao ko lấy tên là Linh Láo Lồn nhỉ ae ??,1
Thật ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong cách mới cho nó đỡ quê,0
bị chịch,1
Bích Trâm :))))) làm thì tập trung làm đừng nhớ những buổi vui đùa chị em nha chị Uyên Thảo,0
Chung Tiến sv 16 hay 17 gì đó nằm ở cuối góc trái bản đồ,0
Cút mẹ luôn đi chứ tạm cl,1
Coi vui ghê,0
Sao mà kể người ta không vậy không kể mình vô duyên,0
Nói ý thức như đb thì tội cho đb quá. Đ m,1
Sống chậm thui ae,0
Nguyễn Hữu Đạt có duyên chết liền ....nhưng mk lại thích kkkk,0
Ghé shop em lựa đồ Unisex và Hàng QC siêu xinh các bác ơi 💥🍊💥 Shop em bao check hàng trước khi nhận nha 👏🏾🖤,0
"<3 tự hào là người VN, tự hào là cháu ngoan Bác Hồ :D",0
phe Nguyễn Phú Trọng compat tổng Nguyễn Tấn Dũng =)),0
:(,0
chửi thế này là bthg đấy :)) chắc nó làm cả việt nam khổ vì nó câu chửi cũng chẳng lj được nó,1
Thật là nhục nhã,0
Con bóng  ngu ngục  minh hiếu,1
"Dm. T mới bị con go go nó chạy sau nó đớp b ak, gửi cho nó pit mà",0
Giang Thanh Đạt Đú Đẫn Quang Trung :)),0
vĩ đại cái máu lồn =))),0
Trân Dân.mày vê VN tao sē Công Đâu Mày....Nhơ lơi tao nói...Thương bé lăm,1
❤️❤️,0
Thôi thôi ông im cmn đê ... 🙂,1
Thờ buổi này đi du lịch chi vậy 😀 đi để kịp đầu thai hả ha gì mà đi dữ vậy,1
Thời trang với thời chủng nhìn mất hết cảm tình 😬😬,0
Sale 99% thì mua,0
À thế bạn ý hát bài j jui có ai giới thiệu cho mình đc ko. Lâu jui mình chẳng nghe bài hát mới nào cả,0
"Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ, tui cam đoan là như dị",0
Quần sịn nhưng tư cách đéo xịn,0
Xin phép copy của bạn,0
"Chúc anh em năm mới vui vẻ, an khang thịnh vượng.",0
🙆🏻‍♀️,0
"sắp trầm cảm cmnr , nhiều tâm sự cứ giữ mãi trong lòng và che dấu bằng nụ cười 😷",1
chúng nó ăn ghê vạy...chứ đè đầu bắt tù ngay thằng nào dám dành ăn với nó ! cho dù là bán phở !,1
a làm tháng có 7 8 triệu thôi . A nghèo lắm 😩😩,0
0969779003 gọi lw,0
"Đang họp nhưng kín, éo cho phóng viên vào. ĐM.",1
Chuc chi 3 khoe nha,0
Hoàng Xuân dễ bị lộn zs con so lắm. Thôi nhịn luôn cho chắc nheng bác,0
tổ lái,0
Tại sao phải trả lời thầy,1
Cho nó ngáp cho nó chừa Cho mày tin cs nhe con,1
Mày cứ nghĩ mày là ông cễnh con à,1
Hahahahahahaaaa,0
Mat la chi Ba o duoi chac la ong Ba yo,0
Mất cả kho điểm free @@,0
Không có một thứ chủ nghĩa nào mà lại tàn phá đất nước và con người như chủ nghĩa này. Các bạn trẻ hãy luôn kiềm chế mình để sau mỗi cuộc hân hoan về bóng đá thì lại đem đau thương về gia đình của mình lâu dài.,1
"Bán nước rõ ràng rồi, các cháu dư luận viên còn gì để sủa ko?",0
Đi cách ly chứ đâu phải đi du lịch😉,0
E chỉ có hàm răng ko đẹp có hỗ trợ ko a hjhj,0
Mía sâu có đốt nhà dột có nơi ai làm gì nói đàn hoàn mày chửi hết quơ đũa hết vậy mới xin lỗi lại cả cộng đồng bây giờ chửi tiếp bó tay.,0
Cái nào tốt th khen cái nào xấu là chê ad có tầm nhìn thấu đáu sáng suốt. Chứ hok phải bọn ngu đần mê mụi hok phân biệt đúng sai. Ng ta thấy sai ng ta nói thì bị cho là việt tân,1
Đíu ai like. Cho thầy đi ăn cắp luôn,0
Điên,0
Hết chuyện nói thì dùng hành động để hâm nóng tình cảm nên ngu thế,0
Sản phẩm của 1 nền giáo dục thối nát,1
Duyên Phạm ghê tr nay văn chương dữ hén,0
Dm vô cách ly chứ có phải sống trong lâu đài đâu muốn dc sung sướng..ngta còn phải phục vụ cơm cho ăn tận miệng còn cà chớn ..muốn m sống mới cách ly chứ muốn m chết đã kệ mẹ rồi m,1
"Nó bị chó nhập rồi đm chạy nhanh không nó cắn chết bà bọn mày, ở đó mà hỏi lsao nữa",1
Con mẹ nó,1
Hải Văn Trần chực bú cu Tiệp hay gì =)))),1
hh...yêu anh tôi vl,1
noi vậy phãi làm sao cho k còn răng để nói đừng làm gì khác chỉ làm thôi,0
Đc vliz a ơiii..,1
Ko ko ko bao giờ tha lỗi cho nó,0
"Tại sao có nhiều người, không phải chê mà là chửi :",0
Sao cô giống đàn ông thế cháu tưởng đàn ông,1
Này chắc là chị của anh độ hỉ.,0
Bexuammailonto :),1
Tội nghiệp cô quá đi😭😭😭,0
"họ đang bận làm tượng đài, bận xây cầu nghìn tỷ,đường nghìn tỷ ở nơi khác. rồi từ từ sẽ có. kêu cái đéo gì. xây có tiền đút túi mà dại gì ko xây.",1
Cay đỏ dái,1
Ý kiến cái củ cải . Lên phường mau,0
Công thức phá sản =)),1
"mình cũng băn khoăn cái này trước cá chết nhiều đéo màu mè gì giờ cá đéo chết thì nước lại có màu, nghi án đổ ít màu cho loang ra mị nhau, rồi tối tối đi đổ ít nước gì đó cho cá ở đâu đó hồ nào chết hàng loạt để gây hoang mang và phân tán dư luận, cái dmd",1
cháu còn nhỏ đừng xạo loz theo bố cháu nhé tùng,1
#ERROR!,0
Bác trần dần kết câu chuyện ván cờ rất đúng.chúc bác luôn nhìn nhận sự việc luôn sáng,0
And DLV come in 3...2...,1
"Cái page này phản động đấy, ad súc vật biết cc j đâu",1
tr ơi nhìn thầy giống con póng quá à.,1
"Mấy chú mấy bác trị tham nhũng mạnh tay tử hình hết dùm, rồi lấy tiền lo cho dân đâu ra đó thì đéo có thằng nào rảnh phản động đâu mấy chú mấy bác ạ.",1
Vaicalon =))),0
"ANH NÓI NGHÈO KHỔ CÓ NHAU, CHỨ ANH CÓ NÓI GIÀU CÓ NHAU ĐÂU :(",0
Huyền Khánh Phùng ơ chị mặt nhiều lớp thế 😂,1
Vu Quynh Huong đó là 1 sự cân bằng hoàn hảo vãilone của tạo hóa =)))),1
Dễ thương hết sức,0
Huỳnh Chí Tính CLMM CHỔNG MÔNG LÊN,1
Thứ giật tiền Minh Hiếu,1
Ngầu thế. K giống tộc trưởng ẻo lả nữa r 😂,0
Gu ăn mặc như cc :v,0
>>>>>>>>>>>>>>>>>>>>>,0
Ad óc con chó vãi lồn,1
Má ba đẹp quá trời luôn,0
đó là sự tinh tế kèm theo một chút vãi loz.,1
Con điên này ghê,1
"Má ơi ta nói như coi hài,cô dễ thương quá",0
Page lâu lâu nói chuyện chuẩn dễ sợ >.<,0
Con mẹ mày trốn học thầy tao qua đây khịa cái gì đây 😁😁😁,1
Nhìn mặt thì ngắn ngủn. Mắt thì hít. Mũi thì to. Nhìn nhủ mấy thằng nô lệ.,1
Mua thêm áo con thầy live lộ hết ngực..,0
1 con chó điên đã vào sủa và cắn....,1
giáo án này hả :v,0
"Từ khi đâu Việt Nam thành cái ổ chứa dịch của bọn Rich kid ,Việt kiều vậy ủa khi còn khỏe có tiền thì sống nước này, nước kia,quốc tịch này quốc tịch kia, rồi tới khi bị gì lại quay về Việt Nam, kiểu như Việt Nam là chổ tạm trú á , đéo hiểu chúng mày sống kiểu gì luôn",1
35:25 nghe chưa đỏ vs vàng là 1 k nên xúc phạm nhau,0
quan trọng là dân đéo tin vào chúng mày nữa chứ ko phải là sợ chúng mày lạm quyền trưng dụng,1
chị ba nói chuyện dễ thương quá,0
"Thế rốt cuộc ""chu cà mo"" nghĩa là gì thế mọi người",0
"Thớt óc chó, dư lợn viên ăn cám heo, con bò đỏ ngu si..thằng đàn ông rẻ tiền mất dạy..1 con người khốn nạn..",1
CÁI LỒN,1
"Vãi l Bùi thắng, uh thì chú cứ nói nữa đi :) cãi chi cho mệt",1
Đúng mười giờ mới lạ toàn hụt mấy phút anh em nhờ,0
😆 nghe mắc cười quá,0
Gần toàn gái xinh mà hành xử kém quá.,0
dư luận viên vào ẳng nào :v,1
"90 phân tram, Tôi rât dông-y voi dâu-oc trai-tim, y-tuong và loi noi ra o dây cua  ông Trân-Dân. En l'écoutant parler, je suis très d'accord d son esprit, de tout ce qu'il s'exprimait ici.",0
"đéo biết thì im, thằng cục trưởng cục phân kia bảo dư lượng chất độc trong nông sản vượt mức cho phép nhưng ăn vào ko sao, độc giả tức quá nên mới bảo ""Kính thưa thằng cục cứt: chất độc ko thể ăn được"", hiểu chửa???",1
Quá chời quá đất Kon Tiết,0
Thuyết cc,1
"đ m, thầy giáo cũng sống ảo",1
D' Đức d hiểu nhìn cái hình là cừ ỉa,0
anh lân hỏi toàn câu hóc búa và trot tên dần này .lão lại càng lên cơn thần kinh nặng hơn .nước mỹ chưa có thuốc trị bệnh thần kinh cho trần dần thì chữa làm sao virus19 được kkkk,1
"Nếu ông này đem thử nghiệm rồi chết vì tai nạn. Thằng chó ad lại bảo: Cơ quan nhà nước ko quản lí, theo dõi để người dân chết vì phát minh của mình. Ex",1
Deoooo nhaa thầy 😚😚,1
Các ông ns ch lj vs loại người này ns ch với vs nó chả khác gì mình ngang nó cả im lặng đi nghiệp từ khác đến thôi ae ạ,1
Trần Thành,0
🥰🥰🥰,0
Mai Ánh Thi có nha em ơi ibx nha,0
lý phục vô thuyết nhưng nghe lí hợp =)) ~~~,0
Đéo có gì để nói về cái đất nước này,1
So Pre Tài Trợ Độ Tây Ngày Hôm Ngày =)),0
mày khôn vậy mày,0
"Sang Campuchia mà phát triển tài năng ! Đã có 2 người phong tướng rồi đó, ở VN thì nằm mơ đi.",1
Đang khoe đú trend mà nhớ nhung gì dở đây má ><,0
thế đéo nào xin lỗi 1 câu là xong v?,1
chưa vk chưa ny uống vào ko biết có động dục ko nhỉ 🤨,0
Sena ám bỏ mẹ,1
Già mà dơ,1
cái mỏ l*n trong làng hài khẩu nghiệp!,1
Thay vì ở đây xàm lol,0
"Nếu ai, hoặc cộng đồng nào giúp tiêu diệt được luôn các chế độ cộng sản còn sót lại trên thế giới, đặc biệt là tại TQ và VN, thì nên trao tặng họ giải Nobel Hòa Bình và giải Nobel Y Học. Giải Nobel Hòa Bình vì công lao tiêu diệt chủ nghĩa bạo lưc cộng",1
Có quá nhiều áp lực trong cuộc sống... mỗi lúc áp lực hay buồn phiền nhiều lúc mình củng có suy nghĩ như vậy,0
